"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 13:32:58 GMT 2024","Fri Jul 05 13:33:03 GMT 2024","5281","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:32:36 GMT 2024","Fri Jul 05 13:32:38 GMT 2024","1551","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:33:04 GMT 2024","Fri Jul 05 13:33:13 GMT 2024","8637","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:32:39 GMT 2024","Fri Jul 05 13:32:44 GMT 2024","5172","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:32:44 GMT 2024","Fri Jul 05 13:32:47 GMT 2024","2877","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:32:36 GMT 2024","Fri Jul 05 13:32:38 GMT 2024","1596","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"broken","Fri Jul 05 13:33:50 GMT 2024","Fri Jul 05 13:34:22 GMT 2024","31546","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:32:47 GMT 2024","Fri Jul 05 13:32:53 GMT 2024","5859","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:32:34 GMT 2024","Fri Jul 05 13:32:36 GMT 2024","2850","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:33:02 GMT 2024","Fri Jul 05 13:33:04 GMT 2024","2267","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:33:03 GMT 2024","Fri Jul 05 13:33:05 GMT 2024","2257","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:32:44 GMT 2024","Fri Jul 05 13:32:48 GMT 2024","4590","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:32:38 GMT 2024","Fri Jul 05 13:32:46 GMT 2024","8533","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:32:58 GMT 2024","Fri Jul 05 13:33:02 GMT 2024","3451","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:32:39 GMT 2024","Fri Jul 05 13:32:44 GMT 2024","5110","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:32:54 GMT 2024","Fri Jul 05 13:32:58 GMT 2024","3223","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:32:34 GMT 2024","Fri Jul 05 13:32:38 GMT 2024","4371","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:32:34 GMT 2024","Fri Jul 05 13:32:36 GMT 2024","2650","chromium","sampleTest.spec.js","","","","Web form and radio button",""
